שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
בית אפרים יורה דעה.txt,אוצריא/שות/אחרונים/בית אפרים/בית אפרים יורה דעה.txt,Dicta,1060
בית אפרים חושן משפט.txt,אוצריא/שות/אחרונים/בית אפרים/בית אפרים חושן משפט.txt,Dicta,1516
בית אפרים אורח חיים.txt,אוצריא/שות/אחרונים/בית אפרים/בית אפרים אורח חיים.txt,Dicta,1009
שות דברי מלכיאל חלק ג.txt,אוצריא/שות/אחרונים/דברי מלכיאל/שות דברי מלכיאל חלק ג.txt,Dicta,1699
שות דברי מלכיאל חלק ב.txt,אוצריא/שות/אחרונים/דברי מלכיאל/שות דברי מלכיאל חלק ב.txt,Dicta,1809
שות דברי מלכיאל חלק ה .txt,אוצריא/שות/אחרונים/דברי מלכיאל/שות דברי מלכיאל חלק ה .txt,Dicta,1488
שות דברי מלכיאל חלק ד.txt,אוצריא/שות/אחרונים/דברי מלכיאל/שות דברי מלכיאל חלק ד.txt,Dicta,1507
שות דברי מלכיאל חלק א.txt,אוצריא/שות/אחרונים/דברי מלכיאל/שות דברי מלכיאל חלק א.txt,Dicta,2322
זכר יהוסף חלק ג.txt,אוצריא/שות/אחרונים/זכר יהוסף/זכר יהוסף חלק ג.txt,Dicta,603
זכר יהוסף חלק ד.txt,אוצריא/שות/אחרונים/זכר יהוסף/זכר יהוסף חלק ד.txt,Dicta,675
זכר יהוסף חלק ב.txt,אוצריא/שות/אחרונים/זכר יהוסף/זכר יהוסף חלק ב.txt,Dicta,501
כתב סופר אורח חיים.txt,אוצריא/שות/אחרונים/כתב סופר/כתב סופר אורח חיים.txt,Dicta,2708
כתב סופר יורה דעה.txt,אוצריא/שות/אחרונים/כתב סופר/כתב סופר יורה דעה.txt,Dicta,3606
כתב סופר אבן העזר.txt,אוצריא/שות/אחרונים/כתב סופר/כתב סופר אבן העזר.txt,Dicta,2507
דברי נחמיה אורח חיים.txt,אוצריא/שות/אחרונים/דברי נחמיה/דברי נחמיה אורח חיים.txt,Dicta,853
דברי נחמיה יורה דעה.txt,אוצריא/שות/אחרונים/דברי נחמיה/דברי נחמיה יורה דעה.txt,Dicta,377
דברי נחמיה אבן העזר.txt,אוצריא/שות/אחרונים/דברי נחמיה/דברי נחמיה אבן העזר.txt,Dicta,705
מביט חלק ב.txt,אוצריא/שות/אחרונים/מביט/מביט חלק ב.txt,Dicta,453
מביט חלק ג.txt,אוצריא/שות/אחרונים/מביט/מביט חלק ג.txt,Dicta,449
מביט חלק א.txt,אוצריא/שות/אחרונים/מביט/מביט חלק א.txt,Dicta,1376
צמח צדק (לובאוויטש) יורה דעה חלק ב.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) יורה דעה חלק ב.txt,Dicta,1758
צמח צדק (לובאוויטש) אבן העזר חלק ג.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) אבן העזר חלק ג.txt,Dicta,758
צמח צדק (לובאוויטש) אבן העזר חלק ד.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) אבן העזר חלק ד.txt,Dicta,991
צמח צדק (לובאוויטש) אבן העזר חלק א.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) אבן העזר חלק א.txt,Dicta,1272
צמח צדק (לובאוויטש) אבן העזר חלק ב.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) אבן העזר חלק ב.txt,Dicta,645
צמח צדק (לובאוויטש) יורה דעה חלק א.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) יורה דעה חלק א.txt,Dicta,960
צמח צדק (לובאוויטש) אורח חיים חלק א.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) אורח חיים חלק א.txt,Dicta,652
זית רענן חלק א.txt,אוצריא/שות/אחרונים/זית רענן/זית רענן חלק א.txt,Dicta,1386
זית רענן חלק ב.txt,אוצריא/שות/אחרונים/זית רענן/זית רענן חלק ב.txt,Dicta,1775
אחיעזר חלק א אבן העזר.txt,אוצריא/שות/אחרונים/אחיעזר/אחיעזר חלק א אבן העזר.txt,Dicta,1019
אחיעזר חלק ג.txt,אוצריא/שות/אחרונים/אחיעזר/אחיעזר חלק ג.txt,Dicta,1802
תשובות הראם חלק א.txt,אוצריא/שות/אחרונים/תשובות הראם/תשובות הראם חלק א.txt,Dicta,119
תשובות הראם חלק ג.txt,אוצריא/שות/אחרונים/תשובות הראם/תשובות הראם חלק ג.txt,Dicta,768
שות תעלומות לב חלק א.txt,אוצריא/שות/אחרונים/שות תעלומות לב/שות תעלומות לב חלק א.txt,Dicta,1656
שות תעלומות לב חלק ב.txt,אוצריא/שות/אחרונים/שות תעלומות לב/שות תעלומות לב חלק ב.txt,Dicta,1686
שות תעלומות לב חלק ד.txt,אוצריא/שות/אחרונים/שות תעלומות לב/שות תעלומות לב חלק ד.txt,Dicta,2459
תשובה שלמה - א.txt,אוצריא/שות/אחרונים/תשובה שלמה/תשובה שלמה - א.txt,Dicta,1077
תשובה שלמה - ב.txt,אוצריא/שות/אחרונים/תשובה שלמה/תשובה שלמה - ב.txt,Dicta,1338
תשובה שלמה אורח חיים יורה דעה מהדורא תנינא.txt,אוצריא/שות/אחרונים/תשובה שלמה/תשובה שלמה אורח חיים יורה דעה מהדורא תנינא.txt,Dicta,467
בית הלוי חלק א.txt,אוצריא/שות/אחרונים/בית הלוי/בית הלוי חלק א.txt,Dicta,718
בית הלוי חלק ג.txt,אוצריא/שות/אחרונים/בית הלוי/בית הלוי חלק ג.txt,Dicta,745
בית הלוי חלק ב.txt,אוצריא/שות/אחרונים/בית הלוי/בית הלוי חלק ב.txt,Dicta,1018
פרי יצחק חלק א.txt,אוצריא/שות/אחרונים/פרי יצחק/פרי יצחק חלק א.txt,Dicta,972
פרי יצחק חלק ב.txt,אוצריא/שות/אחרונים/פרי יצחק/פרי יצחק חלק ב.txt,Dicta,414
מהרם שיק חושן משפט.txt,אוצריא/שות/אחרונים/מהרם שיק/מהרם שיק חושן משפט.txt,Dicta,741
מהרם שיק אורח חיים.txt,אוצריא/שות/אחרונים/מהרם שיק/מהרם שיק אורח חיים.txt,Dicta,2717
מהרם שיק אבן העזר.txt,אוצריא/שות/אחרונים/מהרם שיק/מהרם שיק אבן העזר.txt,Dicta,1806
מהרם שיק יורה דעה.txt,אוצריא/שות/אחרונים/מהרם שיק/מהרם שיק יורה דעה.txt,Dicta,4001
נחלת שבעה מהדורא קמא חלק ב.txt,אוצריא/שות/אחרונים/נחלת ברוך/נחלת שבעה מהדורא קמא חלק ב.txt,Dicta,272
נחלת ברוך.txt,אוצריא/שות/אחרונים/נחלת ברוך/נחלת ברוך.txt,Dicta,516
שות הלכות קטנות חלק א.txt,אוצריא/שות/אחרונים/הלכות קטנות/שות הלכות קטנות חלק א.txt,Dicta,1060
שות הלכות קטנות חלק ב.txt,אוצריא/שות/אחרונים/הלכות קטנות/שות הלכות קטנות חלק ב.txt,Dicta,882
פנים מאירות חלק ב.txt,אוצריא/שות/אחרונים/פנים מאירות/פנים מאירות חלק ב.txt,Dicta,1154
פנים מאירות חלק ג.txt,אוצריא/שות/אחרונים/פנים מאירות/פנים מאירות חלק ג.txt,Dicta,288
פנים מאירות חלק א.txt,אוצריא/שות/אחרונים/פנים מאירות/פנים מאירות חלק א.txt,Dicta,645
שות מהרשם חלק ה.txt,אוצריא/שות/אחרונים/שות מהרשם/שות מהרשם חלק ה.txt,Dicta,572
שות מהרשם חלק ד.txt,אוצריא/שות/אחרונים/שות מהרשם/שות מהרשם חלק ד.txt,Dicta,982
חוט המשולש חלק ג.txt,אוצריא/שות/אחרונים/חוט המשולש/חוט המשולש חלק ג.txt,Dicta,915
חוט המשולש חלק ב.txt,אוצריא/שות/אחרונים/חוט המשולש/חוט המשולש חלק ב.txt,Dicta,83
שות חוט המשולש חלק א.txt,אוצריא/שות/אחרונים/חוט המשולש/שות חוט המשולש חלק א.txt,Dicta,563
משיב דבר חלק ד.txt,אוצריא/שות/אחרונים/משיב דבר/משיב דבר חלק ד.txt,Dicta,958
משיב דבר חלק ג.txt,אוצריא/שות/אחרונים/משיב דבר/משיב דבר חלק ג.txt,Dicta,162
שות אגודת אזוב אורח חיים.txt,אוצריא/שות/אחרונים/אגודת אזוב/שות אגודת אזוב אורח חיים.txt,Dicta,406
שות אגודת אזוב יורה דעה.txt,אוצריא/שות/אחרונים/אגודת אזוב/שות אגודת אזוב יורה דעה.txt,Dicta,279
תשובות הגאונים – מוסאפיה.txt,אוצריא/שות/גאונים/תשובות הגאונים – מוסאפיה.txt,Dicta,293
מנחם ציון.txt,אוצריא/חסידות/ספרי חסידות נוספים/מנחם ציון.txt,Dicta,192
מגן אבות חלק א.txt,אוצריא/חסידות/ספרי חסידות נוספים/מגן אבות חלק א.txt,Dicta,938
אמרי צדיקים.txt,אוצריא/חסידות/ספרי חסידות נוספים/אמרי צדיקים.txt,Dicta,557
קהלת משה.txt,אוצריא/חסידות/ספרי חסידות נוספים/קהלת משה.txt,Dicta,706
הלכות ברכות להריטבא.txt,אוצריא/הלכה/ראשונים/הלכות ברכות להריטבא.txt,Dicta,386
הרוקח.txt,אוצריא/הלכה/ראשונים/הרוקח.txt,Dicta,1250
השגות הרזה על בעלי הנפש.txt,אוצריא/הלכה/ראשונים/השגות הרזה על בעלי הנפש.txt,Dicta,111
ספר העיטור.txt,אוצריא/הלכה/ראשונים/ספר העיטור.txt,Dicta,814
מהריל (מנהגים).txt,אוצריא/הלכה/ראשונים/מהריל (מנהגים).txt,Dicta,1762
מטה משה.txt,אוצריא/הלכה/ראשונים/מטה משה.txt,Dicta,2964
דרך החיים.txt,אוצריא/הלכה/אחרונים/דרך החיים.txt,Dicta,2307
מחנה ישראל.txt,אוצריא/הלכה/אחרונים/מחנה ישראל.txt,Dicta,564
נאות יעקב חלק ב.txt,אוצריא/הלכה/אחרונים/נאות יעקב חלק ב.txt,Dicta,598
דבש תמר - ב (רמבם).txt,אוצריא/הלכה/משנה תורה/מפרשים/דבש תמר - ב (רמבם).txt,Dicta,78
חדושי רבנו חיים הלוי על הרמבם.txt,אוצריא/הלכה/משנה תורה/מפרשים/חדושי רבנו חיים הלוי על הרמבם.txt,Dicta,970
דרך המלך (חוידנסקי).txt,אוצריא/הלכה/משנה תורה/מפרשים/דרך המלך (חוידנסקי).txt,Dicta,112
מחנה אפרים חלק א - ב.txt,אוצריא/הלכה/משנה תורה/מפרשים/מחנה אפרים חלק א - ב.txt,Dicta,2621
פתח הבית על משנה תורה הלכות תמידין ומוספין.txt,אוצריא/הלכה/משנה תורה/מפרשים/פתח הבית/פתח הבית על משנה תורה הלכות תמידין ומוספין.txt,Dicta,86
פתח הבית על משנה תורה הלכות חגיגה.txt,אוצריא/הלכה/משנה תורה/מפרשים/פתח הבית/פתח הבית על משנה תורה הלכות חגיגה.txt,Dicta,92
פתח הבית על משנה תורה הלכות קרבן פסח.txt,אוצריא/הלכה/משנה תורה/מפרשים/פתח הבית/פתח הבית על משנה תורה הלכות קרבן פסח.txt,Dicta,262
פתח הבית על משנה תורה הלכות עבודת יום הכיפורים.txt,אוצריא/הלכה/משנה תורה/מפרשים/פתח הבית/פתח הבית על משנה תורה הלכות עבודת יום הכיפורים.txt,Dicta,96
אוצר המלך על הלכות יסודי התורה.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הלכות יסודי התורה.txt,Dicta,189
אוצר המלך על הלכות תלמוד תורה.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הלכות תלמוד תורה.txt,Dicta,126
אוצר המלך על הקדמת הרמבם.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הקדמת הרמבם.txt,Dicta,8
אוצר המלך על הלכות עבדים.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הלכות עבדים.txt,Dicta,75
אוצר המלך על הלכות עבודה זרה.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הלכות עבודה זרה.txt,Dicta,16
אוצר המלך על הלכות דעות.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הלכות דעות.txt,Dicta,174
אב בחכמה.txt,אוצריא/הלכה/מחברי זמננו/אב בחכמה.txt,Dicta,473
ציונים לתורה.txt,אוצריא/הלכה/מערכות ועניינים/ציונים לתורה.txt,Dicta,820
שערי ישר חלק א - ב.txt,אוצריא/הלכה/מערכות ועניינים/שערי ישר חלק א - ב.txt,Dicta,1680
ברוך טעם.txt,אוצריא/הלכה/מערכות ועניינים/ברוך טעם.txt,Dicta,939
אמרי משה.txt,אוצריא/הלכה/מערכות ועניינים/אמרי משה.txt,Dicta,1758
מקדש דוד חלק ג.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק ג.txt,Dicta,737
בית האוצר חלק ב.txt,אוצריא/הלכה/מערכות ועניינים/בית האוצר חלק ב.txt,Dicta,418
תקפו כהן.txt,אוצריא/הלכה/מערכות ועניינים/תקפו כהן.txt,Dicta,392
אתוון דאורייתא.txt,אוצריא/הלכה/מערכות ועניינים/אתוון דאורייתא.txt,Dicta,540
מקדש דוד חלק ב.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק ב.txt,Dicta,757
מקדש דוד חלק א.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק א.txt,Dicta,807
‏‏לקח טוב.txt,אוצריא/הלכה/מערכות ועניינים/‏‏לקח טוב.txt,Dicta,784
אפיקי ים חלק א.txt,אוצריא/הלכה/מערכות ועניינים/אפיקי ים חלק א.txt,Dicta,1247
מקדש דוד חלק ד.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק ד.txt,Dicta,671
בית אבא.txt,אוצריא/הלכה/מערכות ועניינים/בית אבא.txt,Dicta,336
דרך פקודיך.txt,אוצריא/הלכה/מערכות ועניינים/דרך פקודיך.txt,Dicta,1626
בית האוצר חלק א.txt,אוצריא/הלכה/מערכות ועניינים/בית האוצר חלק א.txt,Dicta,1819
בית יצחק - שערי קבוע וספקות.txt,אוצריא/הלכה/מערכות ועניינים/בית יצחק/בית יצחק - שערי קבוע וספקות.txt,Dicta,1306
בית יצחק - דיני ברירה.txt,אוצריא/הלכה/מערכות ועניינים/בית יצחק/בית יצחק - דיני ברירה.txt,Dicta,595
מהרם שיק תריג מצות חלק א.txt,אוצריא/הלכה/ספרי מצוות/מהרם שיק תריג מצות חלק א.txt,Dicta,1423
קונטרס הספקות.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/קונטרס הספקות.txt,Dicta,278
‏‏אוצרות יוסף יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/‏‏אוצרות יוסף יורה דעה.txt,Dicta,391
פעמוני זהב .txt,אוצריא/הלכה/שולחן ערוך/מפרשים/פעמוני זהב .txt,Dicta,3036
ילקוט הגרשוני אורח חיים א.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/ילקוט הגרשוני אורח חיים א.txt,Dicta,1188
ראשון לציון על שולחן ערוך יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/ראשון לציון על שולחן ערוך יורה דעה.txt,Dicta,344
חמודי דניאל.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חמודי דניאל.txt,Dicta,423
מטה יהונתן על שולחן ערוך אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/מטה יהונתן על שולחן ערוך אורח חיים.txt,Dicta,181
סדרי טהרה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/סדרי טהרה.txt,Dicta,1270
חידושי מהראל על שחיטה וטריפות.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי מהראל על שחיטה וטריפות.txt,Dicta,1452
הפלאה - קונטרס אחרון (הלכות כתובות).txt,אוצריא/הלכה/שולחן ערוך/מפרשים/הפלאה - קונטרס אחרון (הלכות כתובות).txt,Dicta,1278
דעת תורה על שולחן ערוך יוד חלק א.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/דעת תורה על שולחן ערוך יוד חלק א.txt,Dicta,1531
בית מאיר על שולחן ערוך אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/בית מאיר/בית מאיר על שולחן ערוך אורח חיים.txt,Dicta,1945
בית מאיר על שולחן ערוך יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/בית מאיר/בית מאיר על שולחן ערוך יורה דעה.txt,Dicta,2113
‏‏משובב נתיבות על שולחן ערוך חושן משפט.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/קצות החושן/‏‏משובב נתיבות על שולחן ערוך חושן משפט.txt,Dicta,500
אמרי בינה על שולחן ערוך אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אמרי בינה/אמרי בינה על שולחן ערוך אורח חיים.txt,Dicta,870
אמרי בינה על שולחן ערוך יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אמרי בינה/אמרי בינה על שולחן ערוך יורה דעה.txt,Dicta,964
חידושי הרימ על שולחן ערוך אבן העזר.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרימ/חידושי הרימ על שולחן ערוך אבן העזר.txt,Dicta,1865
חידושי הרימ על שולחן ערוך חושן משפט חלק א.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרימ/חידושי הרימ על שולחן ערוך חושן משפט חלק א.txt,Dicta,2002
חידושי הרימ על שולחן ערוך חושן משפט חלק ב.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרימ/חידושי הרימ על שולחן ערוך חושן משפט חלק ב.txt,Dicta,1542
זה הכלל.txt,אוצריא/ספרות עזר/זה הכלל.txt,Dicta,217
שדי חמד קונטרס כללי הפוסקים.txt,אוצריא/ספרות עזר/אנציקלופדיות/שדי חמד/שדי חמד קונטרס כללי הפוסקים.txt,Dicta,933
ספר השרשים לרדק.txt,אוצריא/ספרות עזר/מילונים/ספר השרשים לרדק.txt,Dicta,4429
ספרא דצניעותא עם ביאור הגרא.txt,אוצריא/קבלה/זהר/ספרא דצניעותא עם ביאור הגרא.txt,Dicta,1866
תולעת יעקב.txt,אוצריא/קבלה/ספרי קבלה נוספים/תולעת יעקב.txt,Dicta,420
קיצור מחברת הקודש.txt,אוצריא/קבלה/ספרי קבלה נוספים/קיצור מחברת הקודש.txt,Dicta,287
יושר לבב.txt,אוצריא/קבלה/ספרי קבלה נוספים/יושר לבב.txt,Dicta,304
אור הישר (זרעים).txt,אוצריא/משנה/אחרונים/אור הישר (זרעים).txt,Dicta,906
אור הישר (טהרות).txt,אוצריא/משנה/אחרונים/אור הישר (טהרות).txt,Dicta,2139
משנה אחרונה.txt,אוצריא/משנה/אחרונים/משנה אחרונה.txt,Dicta,1316
דבש תמר - ב (פירוש המשניות להרמבם).txt,אוצריא/משנה/אחרונים/דבש תמר - ב (פירוש המשניות להרמבם).txt,Dicta,581
מפעלות אלוקים.txt,אוצריא/מחשבת ישראל/ראשונים/מפעלות אלוקים.txt,Dicta,426
מלמד התלמידים.txt,אוצריא/מחשבת ישראל/ראשונים/מלמד התלמידים.txt,Dicta,934
האמונה והבטחון מיוחס לרמבן.txt,אוצריא/מחשבת ישראל/ראשונים/האמונה והבטחון מיוחס לרמבן.txt,Dicta,131
שער השמים.txt,אוצריא/מחשבת ישראל/ראשונים/שער השמים.txt,Dicta,581
דרושי הצלח.txt,אוצריא/מחשבת ישראל/אחרונים/דרושי הצלח.txt,Dicta,989
שחרית.txt,אוצריא/סדר התפילה/סידור/סידור נוסח תימן/שחרית.txt,OnYourWay,278
ברכת המזון נוסח תימן.txt,אוצריא/סדר התפילה/סידור/סידור נוסח תימן/ברכת המזון נוסח תימן.txt,OnYourWay,20
מנחה.txt,אוצריא/סדר התפילה/סידור/סידור נוסח תימן/מנחה.txt,OnYourWay,126
ערבית.txt,אוצריא/סדר התפילה/סידור/סידור נוסח תימן/ערבית.txt,OnYourWay,108
אגרות משה אורח חיים א.txt,אוצריא/שות/מחברי זמננו/אגרות משה/אגרות משה אורח חיים א.txt,OnYourWay,1818
אגרות משה אורח חיים ג.txt,אוצריא/שות/מחברי זמננו/אגרות משה/אגרות משה אורח חיים ג.txt,OnYourWay,661
אגרות משה אורח חיים ב.txt,אוצריא/שות/מחברי זמננו/אגרות משה/אגרות משה אורח חיים ב.txt,OnYourWay,738
אגרות משה אורח חיים ה.txt,אוצריא/שות/מחברי זמננו/אגרות משה/אגרות משה אורח חיים ה.txt,OnYourWay,1381
אגרות משה אורח חיים ד.txt,אוצריא/שות/מחברי זמננו/אגרות משה/אגרות משה אורח חיים ד.txt,OnYourWay,1252
אמת ואמונה - מנחם מנדל מקוצק.txt,אוצריא/חסידות/אמת ואמונה - מנחם מנדל מקוצק.txt,OnYourWay,1931
אגרת הקדש.txt,אוצריא/חסידות/חבד/אגרת הקדש.txt,OnYourWay,117
אגרת התשובה.txt,אוצריא/חסידות/חבד/אגרת התשובה.txt,OnYourWay,30
שער היחוד והאמונה.txt,אוצריא/חסידות/חבד/שער היחוד והאמונה.txt,OnYourWay,41
משיבת נפש.txt,אוצריא/חסידות/ברסלב/משיבת נפש.txt,OnYourWay,317
ספר שמות הצדיקים.txt,אוצריא/חסידות/ברסלב/ספר שמות הצדיקים.txt,OnYourWay,263
עלים לתרופה.txt,אוצריא/חסידות/ברסלב/עלים לתרופה.txt,OnYourWay,4525
ארץ ישראל חלק ראשון.txt,אוצריא/חסידות/ברסלב/ארץ ישראל/ארץ ישראל חלק ראשון.txt,OnYourWay,270
ארץ ישראל חלק שני.txt,אוצריא/חסידות/ברסלב/ארץ ישראל/ארץ ישראל חלק שני.txt,OnYourWay,143
ימי מוהרנת חלק שני.txt,אוצריא/חסידות/ברסלב/ספר ימי מוהרנת/ימי מוהרנת חלק שני.txt,OnYourWay,554
ימי מוהרנת חלק ראשון.txt,אוצריא/חסידות/ברסלב/ספר ימי מוהרנת/ימי מוהרנת חלק ראשון.txt,OnYourWay,455
בתי מדרשות -מדרשים קצרים.txt,אוצריא/מדרש/אגדה/בתי מדרשות -מדרשים קצרים.txt,OnYourWay,482
מדרש זוטא.txt,אוצריא/מדרש/אגדה/מדרש זוטא.txt,OnYourWay,869
מדרשות חלק ב - לקוטי מדרשים מכתב יד.txt,אוצריא/מדרש/אגדה/בתי מדרשות/מדרשות חלק ב - לקוטי מדרשים מכתב יד.txt,OnYourWay,34
בתי מדרשות חלק ב - מדרש אלפא ביתות.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק ב - מדרש אלפא ביתות.txt,OnYourWay,46
בתי מדרשות חלק ב - מדרש שלשה וארבעה.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק ב - מדרש שלשה וארבעה.txt,OnYourWay,208
בתי מדרשות חלק א - מגלת אנטיוכס בלשון ארמי.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - מגלת אנטיוכס בלשון ארמי.txt,OnYourWay,133
בתי מדרשות חלק א - ברייתא דמעשה מרכבה.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - ברייתא דמעשה מרכבה.txt,OnYourWay,16
בתי מדרשות חלק א - שלש פסיקתות.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - שלש פסיקתות.txt,OnYourWay,34
בתי מדרשות חלק א - מדרש כתפוח בעצי היער.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - מדרש כתפוח בעצי היער.txt,OnYourWay,45
בתי מדרשות חלק ב - מדרש תמורה השלם.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק ב - מדרש תמורה השלם.txt,OnYourWay,49
בתי מדרשות חלק א - מדרש ילמדנו.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - מדרש ילמדנו.txt,OnYourWay,202
בתי מדרשות חלק ב - מדרש אותיות רבי עקיבא השלם.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק ב - מדרש אותיות רבי עקיבא השלם.txt,OnYourWay,142
בתי מדרשות חלק א - מדרש שני כתובים.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - מדרש שני כתובים.txt,OnYourWay,29
בתי מדרשות חלק א - מאמר גדולה ענוה.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - מאמר גדולה ענוה.txt,OnYourWay,9
בתי מדרשות חלק א - חלום מרדכי ותפלתו ותפלת אסתר.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - חלום מרדכי ותפלתו ותפלת אסתר.txt,OnYourWay,94
בתי מדרשות חלק ב - מדרש מנין.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק ב - מדרש מנין.txt,OnYourWay,115
בתי מדרשות חלק א - משנת מסכת כלה.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - משנת מסכת כלה.txt,OnYourWay,38
מדרשות חלק ב - מדרש חסרות ויתרות.txt,אוצריא/מדרש/אגדה/בתי מדרשות/מדרשות חלק ב - מדרש חסרות ויתרות.txt,OnYourWay,374
בתי מדרשות חלק ב - ספר זרובבל.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק ב - ספר זרובבל.txt,OnYourWay,14
בתי מדרשות חלק א - פרקי היכלות רבתי.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - פרקי היכלות רבתי.txt,OnYourWay,426
מדרש אבא גוריון.txt,אוצריא/מדרש/אגדה/בתי מדרשות/מדרש אבא גוריון.txt,OnYourWay,77
בתי מדרשות חלק א - סדר רבה דבראשית.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - סדר רבה דבראשית.txt,OnYourWay,96
בתי מדרשות חלק א - פרק צדקות.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - פרק צדקות.txt,OnYourWay,16
בתי מדרשות חלק ב - מכילתא.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק ב - מכילתא.txt,OnYourWay,23
בתי מדרשות חלק א - לקוטים ממדרש שוחר טוב כתב יד.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק א - לקוטים ממדרש שוחר טוב כתב יד.txt,OnYourWay,15
בתי מדרשות חלק ב - ברייתא דמזלות.txt,אוצריא/מדרש/אגדה/בתי מדרשות/בתי מדרשות חלק ב - ברייתא דמזלות.txt,OnYourWay,129
סוד הנחש.txt,אוצריא/קבלה/רבי יוסף גיקטליה/סוד הנחש.txt,OnYourWay,44
ספר החשמל.txt,אוצריא/קבלה/רבי יוסף גיקטליה/ספר החשמל.txt,OnYourWay,26
ספר שער הניקוד וסוד החשמל.txt,אוצריא/קבלה/רבי יוסף גיקטליה/ספר שער הניקוד וסוד החשמל.txt,OnYourWay,98
אור יקר על ענין הנבואה.txt,אוצריא/קבלה/רמק/אור יקר על ענין הנבואה.txt,OnYourWay,229
דרישות בעניני המלאכים.txt,אוצריא/קבלה/רמק/דרישות בעניני המלאכים.txt,OnYourWay,2902
אור יקר על בראשית.txt,אוצריא/קבלה/רמק/אור יקר על בראשית.txt,OnYourWay,191
ספר גרושין.txt,אוצריא/קבלה/רמק/ספר גרושין.txt,OnYourWay,2664
ספר עץ הדעת טוב.txt,אוצריא/קבלה/רבי חיים ויטאל/ספר עץ הדעת טוב.txt,OnYourWay,193
